vnd_vendor_id,vnd_vendor_name_normalized,inv_supplier_name,inv_supplier_city,inv_supplier_state,country,vnd_vendor_type,vnd_trade_category,inv_li_epc_category,inv_li_material_type,website,vnd_vendor_code,inv_supplier_email,inv_supplier_gstin,inv_supplier_pan,inv_supplier_phone,vnd_cin,vnd_overall_rating,vnd_quality_rating,vnd_delivery_rating,vnd_safety_rating,vnd_financial_health,vnd_msme_flag,vnd_blacklisted,vnd_approved_vendor,vnd_empanelment_date,vnd_empanelment_expiry,vnd_specialisation,inv_supplier_bank_name,inv_supplier_ifsc_code
00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,Alfred Miller Contracting,Lake Charles,LA,USA,subcontractor,civil,civil,aggregate,alfredmiller.com,VND-AMC-001,procurement@alfredmiller.com,92-8846089,44-787194-8613,+1-927-436-6746,1183067892,4.3,4.3,4.1,4.6,A,0,0,1,2018-07-01,2027-03-28,Civil — EPC megaprojects,JPMorgan Chase,JPMB1888358
00000000-0000-0000-0000-0000b2a8979c,Bigge,Bigge,San Leandro,CA,USA,supplier,equipment,equipment,equipment,bigge.com,VND-B-002,procurement@bigge.com,81-4428303,79-799044-5635,+1-733-461-7866,1054539030,4.9,4.3,4.4,4.5,A,0,0,1,2014-02-01,2027-11-28,Equipment — EPC megaprojects,Bank of America,JPMB3991735
00000000-0000-0000-0000-00016e6a646b,Cambria County Assoc for Blind & Handicapped,Cambria County Assoc for Blind & Handicapped,Johnstown,PA,USA,supplier,industrial_supply,site_overheads,service,ccabh.org,VND-CCA-003,procurement@ccabh.org,81-2651738,30-804797-2725,+1-802-511-9177,1377955335,4.9,4.2,4.6,4.5,A,0,0,1,2018-07-01,2027-11-28,Industrial Supply — EPC megaprojects,Citibank,JPMB3133172
00000000-0000-0000-0000-000323515a4b,Cimtas,Cimtas,Bursa,BSK,Turkey,subcontractor,piping,civil,pipe,cimtas.com.tr,VND-C-004,procurement@cimtas.com.tr,TR2263571490,44-347997-5435,+1-232-342-4970,1714322942,4.4,4.4,4.2,4.5,A,0,0,1,2008-01-01,2027-10-28,Piping — EPC megaprojects,Deutsche Bank,JPMB7353024
00000000-0000-0000-0000-0002a95f375c,Fagioli,Fagioli,Sant Ilario d Enza,RE,Italy,subcontractor,heavy_lift,subcontract,service,fagioli.com,VND-F-005,procurement@fagioli.com,IT46790852215,69-574884-5914,+1-371-215-8475,2171028084,4.8,5.0,3.9,4.7,A,0,0,1,2018-04-01,2027-10-28,Heavy Lift — EPC megaprojects,HSBC,JPMB2897079
00000000-0000-0000-0000-0001bfb77308,H. E. Hunewill Construction,H. E. Hunewill Construction,Winnemucca,NV,USA,subcontractor,civil,civil,aggregate,hunewill.com,VND-HEH-006,procurement@hunewill.com,82-1015303,82-362584-2737,+1-619-405-6340,2457875267,4.7,4.7,4.6,4.3,A,0,0,1,2010-08-01,2027-06-28,Civil — EPC megaprojects,Bank of America,JPMB4089356
00000000-0000-0000-0000-000012f0f171,Hantech,Hantech,Ulsan,BO,South Korea,supplier,structural_steel,structural_steel,steel,hantech.co.kr,VND-H-007,procurement@hantech.co.kr,KR115855704,78-497191-1946,+1-679-387-9595,1150040527,4.1,4.6,4.8,4.3,A,0,0,1,2021-07-01,2027-05-28,Structural Steel — EPC megaprojects,Bank of America,JPMB6021392
00000000-0000-0000-0000-00001e315dd6,Harris Thermal Transfer Products,Harris Thermal Transfer Products,Newberg,OR,USA,supplier,heat_exchange,mep,equipment,harristhermal.com,VND-HTT-008,procurement@harristhermal.com,98-7439923,18-464538-2889,+1-267-404-8150,1969971133,4.3,4.1,4.6,4.6,A,0,0,1,2009-08-01,2027-02-28,Heat Exchange — EPC megaprojects,JPMorgan Chase,JPMB8704380
00000000-0000-0000-0000-00004b23725c,JAFEC USA,JAFEC USA,San Jose,CA,USA,supplier,filtration,mep,equipment,jafec.com,VND-JU-009,procurement@jafec.com,22-4368132,57-187748-7472,+1-928-498-6786,3104777362,4.5,4.0,5.0,4.7,B,0,0,1,2016-10-01,2027-12-28,Filtration — EPC megaprojects,Bank of America,JPMB5204921
00000000-0000-0000-0000-00025b02a2ad,Legacy Building Solutions,Legacy Building Solutions,South Haven,MN,USA,supplier,structural_steel,structural_steel,steel,legacybuildingsolutions.com,VND-LBS-010,procurement@legacybuildingsolutions.com,33-2739015,32-861995-2299,+1-787-325-5266,3025052379,5.0,4.8,4.4,4.9,A,0,0,1,2019-04-01,2027-08-28,Structural Steel — EPC megaprojects,Wells Fargo,JPMB3794127
00000000-0000-0000-0000-00003ad9348c,Metso,Metso,Helsinki,UUS,Finland,supplier,equipment,equipment,equipment,metso.com,VND-M-011,procurement@metso.com,FI64424321048,92-744756-1903,+1-655-295-6358,2610441042,4.8,4.5,4.9,4.3,A,0,0,1,2012-09-01,2027-08-28,Equipment — EPC megaprojects,HSBC,JPMB3769813
00000000-0000-0000-0000-000074e9a4c5,Nextracker,Nextracker,Fremont,CA,USA,supplier,solar_tracking,equipment,equipment,nextracker.com,VND-N-012,procurement@nextracker.com,46-7362629,46-409875-3930,+1-670-630-3637,2104328254,4.3,4.8,4.8,5.0,B,0,0,1,2013-04-01,2027-10-28,Solar Tracking — EPC megaprojects,JPMorgan Chase,JPMB4056333
00000000-0000-0000-0000-000206e4e650,Pioneer Pipe,Pioneer Pipe,Marietta,OH,USA,supplier,piping,civil,pipe,pioneerpipe.com,VND-PP-013,procurement@pioneerpipe.com,92-8876489,26-857008-3407,+1-292-281-1080,1389991877,4.2,4.5,4.4,4.7,A,0,0,1,2016-03-01,2027-09-28,Piping — EPC megaprojects,Citibank,JPMB9326219
00000000-0000-0000-0000-0000f0d4df67,Veolia,Veolia,Trevose,PA,USA,supplier,water_treatment,mep,service,veolia.com,VND-V-014,procurement@veolia.com,10-5409116,46-411809-9416,+1-620-239-6057,2996418121,4.6,4.4,5.0,4.7,A,0,0,1,2015-03-01,2027-02-28,Water Treatment — EPC megaprojects,JPMorgan Chase,JPMB3750638
00000000-0000-0000-0000-0001476d76de,ArmorWorks,ArmorWorks,Chandler,AZ,USA,supplier,defense_equipment,equipment,equipment,armorworks.com,VND-A-015,procurement@armorworks.com,69-8770091,82-960498-8968,+1-906-827-3556,3070937259,4.3,4.8,4.7,4.9,A,0,0,1,2008-04-01,2027-11-28,Defense Equipment — EPC megaprojects,Deutsche Bank,JPMB9409155
00000000-0000-0000-0000-000365db783d,Baker Hughes,Baker Hughes,Houston,TX,USA,supplier,turbomachinery,equipment,equipment,bakerhughes.com,VND-BH-016,procurement@bakerhughes.com,27-3772408,99-526267-9680,+1-826-257-1068,1215203121,4.9,4.0,4.2,4.5,A,0,0,1,2015-09-01,2027-04-28,Turbomachinery — EPC megaprojects,JPMorgan Chase,JPMB7398115
00000000-0000-0000-0000-000299e399a6,Barton Firtop Engineering Company,Barton Firtop Engineering Company,Worcestershire,WOR,UK,subcontractor,engineering,subcontract,service,bartonfirtop.co.uk,VND-BFE-017,procurement@bartonfirtop.co.uk,GB444070593,56-366378-1083,+1-338-366-9814,1561200307,4.3,4.4,3.9,4.8,A,0,0,1,2016-02-01,2027-12-28,Engineering — EPC megaprojects,Deutsche Bank,JPMB3322784
00000000-0000-0000-0000-0000b13e423a,Dongbang Transport Logistics Co,Dongbang Transport Logistics Co,Incheon,IN,South Korea,subcontractor,logistics,site_overheads,service,dongbang.co.kr,VND-DTL-018,procurement@dongbang.co.kr,KR897532257,52-106774-7022,+1-314-528-6053,2708147507,4.8,5.0,3.9,4.9,A,0,0,1,2014-06-01,2027-12-28,Logistics — EPC megaprojects,HSBC,JPMB5003737
00000000-0000-0000-0000-00016b0cefa9,Vorspann Systems Ltd,Vorspann Systems Ltd,Swindon,SWD,UK,supplier,post_tensioning,structural_steel,rebar,vorspann.co.uk,VND-VSL-019,procurement@vorspann.co.uk,GB580793077,74-839599-9984,+1-313-799-3051,1342669998,5.0,4.5,4.8,5.0,A,0,0,1,2009-05-01,2027-07-28,Post Tensioning — EPC megaprojects,HSBC,JPMB4541544
00000000-0000-0000-0000-000150c094c8,Airgas USA LLC,Airgas USA LLC,Radnor,PA,USA,supplier,industrial_gases,site_overheads,service,airgas.com,VND-AUL-020,procurement@airgas.com,89-8396488,21-809368-9584,+1-262-297-5394,2214876609,4.2,4.9,4.6,4.3,A,1,0,1,2015-08-01,2027-05-28,Industrial Gases — EPC megaprojects,Citibank,JPMB9665023
00000000-0000-0000-0000-000075268f44,Atlantic Projects Company,Atlantic Projects Company,Dublin,L,Ireland,subcontractor,mechanical,mep,equipment,atlanticprojects.com,VND-APC-021,procurement@atlanticprojects.com,GB813298370,17-980188-1094,+1-858-680-1214,3050608217,4.9,4.3,4.2,4.7,A,0,0,1,2013-09-01,2027-11-28,Mechanical — EPC megaprojects,Barclays,JPMB2547329
00000000-0000-0000-0000-0000432a72cd,Bennett Truck Transport LLC,Bennett Truck Transport LLC,McDonough,GA,USA,subcontractor,logistics,site_overheads,service,bennetttruck.com,VND-BTT-022,procurement@bennetttruck.com,88-4021544,86-879339-1059,+1-796-788-5875,1178671048,4.7,4.8,4.5,4.9,A,0,0,1,2008-08-01,2027-10-28,Logistics — EPC megaprojects,Wells Fargo,JPMB9652950
00000000-0000-0000-0000-00009ad08669,Fay an i+iconUSA Company,Fay an i+iconUSA Company,Exton,PA,USA,subcontractor,civil,civil,aggregate,fay.com,VND-FAI-023,procurement@fay.com,75-7586208,36-351023-8243,+1-704-290-2486,2504172399,4.7,4.4,4.6,4.4,B,0,0,1,2011-02-01,2027-07-28,Civil — EPC megaprojects,HSBC,JPMB9695042
00000000-0000-0000-0000-000297e62614,Lindy Paving Inc,Lindy Paving Inc,Pittsburgh,PA,USA,subcontractor,civil,civil,aggregate,lindypaving.com,VND-LPI-024,procurement@lindypaving.com,46-5329712,58-996748-1262,+1-480-262-8514,1550885218,4.3,4.7,4.6,4.8,A,1,0,1,2008-03-01,2027-08-28,Civil — EPC megaprojects,Deutsche Bank,JPMB3066560
00000000-0000-0000-0000-0001fb175247,P&I Supply Company,P&I Supply Company,Deer Park,TX,USA,supplier,industrial_supply,site_overheads,service,pi-supply.com,VND-PSC-025,procurement@pi-supply.com,67-3498209,74-468129-9704,+1-475-413-8638,2970613521,4.9,4.3,4.7,4.7,A,0,0,1,2010-05-01,2027-12-28,Industrial Supply — EPC megaprojects,Wells Fargo,JPMB6777354
