bgt_actual_amount,bgt_committed_amount,bgt_cost_code_budget,bgt_cost_code_spent_pct,bgt_forecast_at_completion,cf_actual_amount,cf_flow_month,cf_flow_type,cf_planned_amount,cf_variance_amount,cf_working_capital_days,contract_end_date,contract_number,contract_start_date,contract_type,contract_value,ev_ac,ev_bac,ev_cpi,ev_cv,ev_eac,ev_ev,ev_pv,ev_spi,ev_sv,ev_vac,ext_commodity_name,ext_forex_rate,ext_market_price,ext_price_date,ext_price_mom_pct,ext_price_unit,ext_price_volatility,ext_price_yoy_pct,ext_rolling_12m_avg,ext_rolling_3m_avg,inv_budgeted_amount,inv_cgst_amount,inv_duplicate_flag,inv_duplicate_group_id,inv_grn_matched,inv_igst_amount,inv_invoice_currency,inv_invoice_date,inv_invoice_number,inv_invoice_type,inv_li_description,inv_li_epc_category,inv_li_hsn_sac_code,inv_li_material_type,inv_li_quantity,inv_li_sl_no,inv_li_taxable_amount,inv_li_total_amount,inv_li_unit_rate,inv_li_uom,inv_li_uom_normalized,inv_matched_po_number,inv_off_contract_flag,inv_other_charges,inv_payment_terms,inv_place_of_supply,inv_po_match_confidence,inv_price_variance_flag,inv_price_variance_pct,inv_project_code,inv_project_id,inv_project_name,inv_sgst_amount,inv_supplier_bank_name,inv_supplier_city,inv_supplier_email,inv_supplier_gstin,inv_supplier_name,inv_supplier_pan,inv_supplier_phone,inv_supplier_state,inv_taxable_amount,inv_total_amount,inv_variance_amount,inv_variance_flag,invoice_id,ld_per_day,line_item_id,mat_market_benchmark_rate,mat_price_trend,mat_rate_vs_benchmark_pct,pmt_advance_flag,pmt_days_to_pay,pmt_overdue_days,pmt_overdue_flag,pmt_payment_date,pmt_payment_id,pmt_payment_mode,pmt_payment_status,pmt_retention_held,pmt_retention_released,po_delivery_date,po_delivery_status,po_id,po_li_description,po_li_line_amount,po_li_quantity_ordered,po_li_quantity_pending,po_li_quantity_received,po_li_quantity_rejected,po_li_unit_rate,po_li_uom,po_open_amount,po_over_invoiced_flag,po_status,po_total_invoiced_amount,po_total_paid_amount,po_type,po_value,prj_client_name,prj_is_epc,prj_site_city,prj_site_state,prj_status,prj_total_contract_value,prj_type,retention_pct,row_process_id,sch_activity_id,sch_activity_name,sch_actual_pct,sch_actual_start,sch_delay_days,sch_delay_flag,sch_delay_reason,sch_float_days,sch_forecast_finish,sch_is_critical_path,sch_planned_finish,sch_planned_pct,sch_planned_start,synced_at,transaction_id,txn_date,txn_source,txn_type,vnd_approved_vendor,vnd_blacklisted,vnd_delivery_rating,vnd_financial_health,vnd_msme_category,vnd_msme_flag,vnd_overall_rating,vnd_quality_rating,vnd_safety_rating,vnd_specialisation,vnd_trade_category,vnd_vendor_code,vnd_vendor_id,vnd_vendor_name_normalized,vnd_vendor_type
37063.47,13575687.08,19349626.48,0.2,18411282.22,37063.47,2025-02-01,outflow_procurement,38983.4,-1919.93,51,2025-08-18,CTR-BEC-INF-WSA-VND--001,2024-10-22,cost_plus,170013,33383.85,18411282.22,114.713,3796162.85,160498.66,3829546.7,3940014.4,0.972,-110467.7,18250783.56,,,,,,,,,,,17735547.43,0.0,0,,0,0.0,USD,2025-02-02,AM-2025-0000001,tax_invoice,Civil supply — Western Sydney International Airpor Lot 1,civil,7304,aggregate,9.64,1,34238.77,37063.47,3551.74,CY,CY,PO-BEC-INF-WSA-VND-AM-00001,0,440.97,Net 30 — monthly progress billing,NSW,0.85,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,34238.77,37063.47,-17698483.96,under,INV-7B5AE601,0.47,LI-0000001,,,,0,51,6,1,2025-03-25,PMT-585444,ach,paid,1111.9,0.0,2025-03-24,on_track,PO-VND-AM-00001,Civil supply — Western Sydney International Airpor Lot 1,115928.79,32.64,6.8,25.84,0.25,3551.74,CY,103697.57,0,active,52173.43,31077.29,subcontract_po,155871,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,3.0,1,ACT-BEC-INF-WSA-CIV-0001,Civil delivery — Western Sydney International A,20.8,2025-01-14,0,0,,15,2025-05-19,0,2025-05-19,21.4,2025-01-09,2025-01-15 08:00:00,INV-BA645450,2025-02-02,ocr_pdf,invoice,1,0,4.8,A,large,0,4.3,4.3,4.6,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
21288.72,9957890.28,10836172.65,0.2,12276451.42,21288.72,2025-02-01,outflow_procurement,20457.93,830.79,49,2025-08-18,CTR-BEC-INF-WSA-VND--001,2024-12-19,unit_rate,80926,23176.23,12276451.42,292.394,6753424.95,41985.99,6776601.18,7427253.11,0.912,-650651.93,12234465.43,,,,,,,,,,,10020061.56,0.0,0,,0,0.0,USD,2025-02-04,AM-2025-0000002,tax_invoice,Civil supply — Western Sydney International Airpor Lot 2,civil,3926,aggregate,11.43,2,21288.72,21288.72,1862.53,CY,CY,PO-BEC-INF-WSA-VND-AM-00002,0,450.15,Net 30 — monthly progress billing,NSW,0.83,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,21288.72,21288.72,-9998772.84,under,INV-AA55195F,0.22,LI-0000002,,,,0,49,4,1,2025-03-25,PMT-731392,wire_transfer,paid,638.66,0.0,2025-06-28,delayed,PO-VND-AM-00002,Civil supply — Western Sydney International Airpor Lot 2,47811.15,25.67,13.7,11.97,0.34,1862.53,CY,19082.7,0,active,49122.3,26677.25,subcontract_po,68205,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,3.0,2,ACT-BEC-INF-WSA-CIV-0002,Civil delivery — Western Sydney International A,55.2,2025-01-20,0,0,,0,2025-04-27,0,2025-04-27,60.5,2025-01-19,2025-01-15 08:00:00,INV-052DC5C6,2025-02-04,ocr_pdf,invoice,1,0,4.8,A,large,0,4.3,4.3,4.1,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
7604.91,19888838.22,14992710.32,0.0,15491025.49,7604.91,2024-01-01,outflow_procurement,8054.09,-449.18,31,2024-12-01,CTR-BEC-INF-WSA-VND--001,2023-11-30,unit_rate,23838,7595.22,15491025.49,1034.065,7846354.7,14980.71,7853949.92,8179261.46,0.96,-325311.54,15476044.78,,,,,,,,,,,16545418.17,0.0,0,,0,0.0,USD,2024-01-21,AM-2024-0000003,tax_invoice,Civil supply — Western Sydney International Airpor Lot 3,civil,8481,aggregate,48.51,3,7604.91,7604.91,156.77,CY,CY,PO-BEC-INF-WSA-VND-AM-00003,0,296.93,Net 30 — monthly progress billing,NSW,0.85,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,7604.91,7604.91,-16537813.26,under,INV-D1E63485,0.07,LI-0000003,,,,0,31,,0,2024-02-21,PMT-721726,ach,paid,380.25,0.0,2024-05-27,on_track,PO-VND-AM-00003,Civil supply — Western Sydney International Airpor Lot 3,42763.72,272.78,136.42,136.36,3.71,156.77,CY,8019.02,0,active,15185.98,13017.82,subcontract_po,23205,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,5.0,3,ACT-BEC-INF-WSA-CIV-0003,Civil delivery — Western Sydney International A,50.7,2023-11-27,4,1,,8,2024-03-23,0,2024-03-19,52.8,2023-11-24,2025-01-15 08:00:00,INV-92F228D7,2024-01-21,ocr_pdf,invoice,1,0,3.8,A,large,0,4.3,4.3,4.0,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
148999.21,19654744.8,18644700.2,0.9,20226337.04,148999.21,2024-08-01,outflow_procurement,145304.13,3695.08,23,2025-01-02,CTR-BEC-INF-WSA-VND--001,2024-07-04,unit_rate,1050575,168999.69,20226337.04,46.676,7719271.76,433334.84,7888271.45,9829999.8,0.802,-1941728.35,19793002.2,,,,,,,,,,,16240812.04,0.0,0,,0,0.0,USD,2024-08-13,AM-2024-0000004,tax_invoice,Civil supply — Western Sydney International Airpor Lot 4,civil,7306,aggregate,30.47,4,148999.21,148999.21,4890.03,CY,CY,PO-BEC-INF-WSA-VND-AM-00004,0,437.97,Net 30 — monthly progress billing,NSW,0.94,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,148999.21,148999.21,-16091812.83,under,INV-C425C758,2.88,LI-0000004,,,,0,23,,0,2024-09-05,PMT-667292,cheque,paid,14899.92,0.0,2024-12-29,on_track,PO-VND-AM-00004,Civil supply — Western Sydney International Airpor Lot 4,302399.46,61.84,35.76,26.08,0.04,4890.03,CY,431825.66,0,active,588433.34,447071.65,subcontract_po,1020259,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,10.0,4,ACT-BEC-INF-WSA-CIV-0004,Civil delivery — Western Sydney International A,39.0,2024-07-20,0,0,,1,2024-10-28,0,2024-10-28,48.6,2024-07-15,2025-01-15 08:00:00,INV-D3B9C16B,2024-08-13,ocr_pdf,invoice,1,0,4.1,A,large,0,4.3,4.3,4.9,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
171340.01,18386429.63,14704461.66,1.2,14428293.59,171340.01,2021-03-01,outflow_procurement,186674.47,-15334.46,26,2021-10-13,CTR-BEC-INF-WSA-VND--001,2020-12-19,cost_plus,2363000,139133.16,14428293.59,45.006,6122746.26,320586.0,6261879.42,6334020.89,0.989,-72141.47,14107707.59,,,,,,,,,,,14609768.61,0.0,0,,0,0.0,USD,2021-03-31,AM-2021-0000005,tax_invoice,Civil supply — Western Sydney International Airpor Lot 5,civil,7304,aggregate,34.59,5,158281.76,171340.01,4575.94,CY,CY,PO-BEC-INF-WSA-VND-AM-00005,0,53.09,Net 30 — monthly progress billing,NSW,0.97,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,158281.76,171340.01,-14438428.6,under,INV-F2DBDF70,6.47,LI-0000005,,,,0,26,,0,2021-04-26,PMT-887747,cheque,paid,8567.0,0.0,2021-07-28,delayed,PO-VND-AM-00005,Civil supply — Western Sydney International Airpor Lot 5,691836.37,151.19,44.1,107.09,1.86,4575.94,CY,1193292.99,0,closed,819003.01,698379.75,subcontract_po,2012296,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,5.0,5,ACT-BEC-INF-WSA-CIV-0005,Civil delivery — Western Sydney International A,43.4,2021-03-21,14,1,,4,2021-06-30,0,2021-06-16,43.9,2021-03-19,2025-01-15 08:00:00,INV-B4059051,2021-03-31,ocr_pdf,invoice,1,0,4.7,A,large,0,4.3,4.3,5.0,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
18489.94,14271133.29,15474169.57,0.1,14994226.98,18489.94,2022-05-01,outflow_procurement,17103.98,1385.96,40,2022-10-28,CTR-BEC-INF-WSA-VND--001,2022-04-25,unit_rate,107066,18193.63,14994226.98,493.664,8963348.33,30373.34,8981541.96,10331022.39,0.869,-1349480.43,14963853.64,,,,,,,,,,,16238629.95,0.0,0,,0,0.0,USD,2022-05-26,AM-2022-0000006,tax_invoice,Civil supply — Western Sydney International Airpor Lot 6,civil,7214,aggregate,5.17,6,18489.94,18489.94,3576.39,CY,CY,PO-BEC-INF-WSA-VND-AM-00006,0,370.41,Net 30 — monthly progress billing,NSW,0.84,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,18489.94,18489.94,-16220140.01,under,INV-F8B1EAB3,0.29,LI-0000006,,,,0,40,,0,2022-07-05,PMT-637957,wire_transfer,paid,1848.99,0.0,2022-11-14,on_track,PO-VND-AM-00006,Civil supply — Western Sydney International Airpor Lot 6,147633.38,41.28,0.28,41.0,0.47,3576.39,CY,21753.25,0,closed,82167.75,65952.75,subcontract_po,103921,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,10.0,6,ACT-BEC-INF-WSA-CIV-0006,Civil delivery — Western Sydney International A,59.9,2022-04-12,0,0,,14,2022-08-05,0,2022-08-05,68.9,2022-04-09,2025-01-15 08:00:00,INV-17356DC7,2022-05-26,ocr_pdf,invoice,1,0,4.6,A,large,0,4.3,4.3,4.5,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
28014.46,12685211.79,15981961.47,0.2,13122576.55,28014.46,2021-09-01,outflow_procurement,30114.6,-2100.14,58,2022-02-05,CTR-BEC-INF-WSA-VND--001,2021-07-09,unit_rate,96538,24340.86,13122576.55,256.081,6208883.0,51243.85,6233223.86,7322397.71,0.851,-1089173.85,13071332.7,,,,,,,,,,,13883656.36,0.0,0,,0,0.0,USD,2021-09-22,AM-2021-0000007,tax_invoice,Civil supply — Western Sydney International Airpor Lot 7,civil,8708,aggregate,14.56,7,28014.46,28014.46,1924.07,CY,CY,PO-BEC-INF-WSA-VND-AM-00007,0,159.04,Net 30 — monthly progress billing,NSW,0.83,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,28014.46,28014.46,-13855641.9,under,INV-6A1D23B3,0.26,LI-0000007,,,,0,58,13,1,2021-11-19,PMT-617318,cheque,paid,2801.45,0.0,2022-02-12,on_track,PO-VND-AM-00007,Civil supply — Western Sydney International Airpor Lot 7,115521.16,60.04,22.9,37.14,0.33,1924.07,CY,48213.39,0,active,39047.61,23651.65,subcontract_po,87261,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,10.0,7,ACT-BEC-INF-WSA-CIV-0007,Civil delivery — Western Sydney International A,47.5,2021-08-28,0,0,,12,2022-01-11,0,2022-01-11,55.8,2021-08-26,2025-01-15 08:00:00,INV-3A791700,2021-09-22,ocr_pdf,invoice,1,0,3.7,A,large,0,4.3,4.3,4.4,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
44234.62,7407432.22,6522569.06,0.7,6335058.7,44234.62,2024-02-01,outflow_procurement,41908.23,2326.39,62,2024-09-25,CTR-BEC-INF-WSA-VND--001,2024-01-13,lump_sum,397929,44489.62,6335058.7,56.103,2451523.51,112918.36,2496013.13,2888786.77,0.864,-392773.64,6222140.34,,,,,,,,,,,6204156.11,0.0,0,,0,0.0,USD,2024-02-24,AM-2024-0000008,tax_invoice,Civil supply — Western Sydney International Airpor Lot 8,civil,7214,aggregate,24.09,8,40863.39,44234.62,1696.28,CY,CY,PO-BEC-INF-WSA-VND-AM-00008,0,245.31,Net 30 — monthly progress billing,NSW,0.92,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,40863.39,44234.62,-6159921.49,under,INV-00604317,1.09,LI-0000008,,,,0,62,17,1,2024-04-26,PMT-053490,wire_transfer,paid,1327.04,0.0,2024-04-18,on_track,PO-VND-AM-00008,Civil supply — Western Sydney International Airpor Lot 8,136414.84,80.42,12.91,67.51,1.07,1696.28,CY,192832.86,0,active,167013.14,107485.82,subcontract_po,359846,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,3.0,8,ACT-BEC-INF-WSA-CIV-0008,Civil delivery — Western Sydney International A,39.4,2024-01-27,0,0,,10,2024-06-18,0,2024-06-18,45.6,2024-01-27,2025-01-15 08:00:00,INV-A938F614,2024-02-24,ocr_pdf,invoice,1,0,4.0,A,large,0,4.3,4.3,4.3,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
73937.34,15770370.12,13798637.17,0.6,15033037.8,73937.34,2024-03-01,outflow_procurement,72426.41,1510.93,48,2024-11-16,CTR-BEC-INF-WSA-VND--001,2024-01-14,unit_rate,887769,88076.76,15033037.8,37.379,3204158.52,402178.7,3292235.28,3517730.85,0.936,-225495.57,14630859.1,,,,,,,,,,,12334403.19,0.0,0,,0,0.0,USD,2024-03-06,AM-2024-0000009,tax_invoice,Civil supply — Western Sydney International Airpor Lot 9,civil,8544,aggregate,25.31,9,73937.34,73937.34,2921.27,CY,CY,PO-BEC-INF-WSA-VND-AM-00009,0,465.17,Net 30 — monthly progress billing,NSW,0.84,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,73937.34,73937.34,-12260465.85,under,INV-307408A3,2.43,LI-0000009,,,,0,48,3,1,2024-04-23,PMT-232838,cheque,paid,3696.87,0.0,2024-07-23,on_track,PO-VND-AM-00009,Civil supply — Western Sydney International Airpor Lot 9,151526.27,51.87,9.29,42.58,0.99,2921.27,CY,182908.8,0,closed,659823.2,422242.19,subcontract_po,842732,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,5.0,9,ACT-BEC-INF-WSA-CIV-0009,Civil delivery — Western Sydney International A,21.9,2024-01-11,0,0,,1,2024-05-20,0,2024-05-20,23.4,2024-01-08,2025-01-15 08:00:00,INV-E1F0444E,2024-03-06,ocr_pdf,invoice,1,0,4.0,A,large,0,4.3,4.3,4.9,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
6088.78,10682037.06,9300564.39,0.1,11485278.29,6088.78,2020-06-01,outflow_procurement,5903.35,185.43,46,2021-05-16,CTR-BEC-INF-WSA-VND--001,2020-03-13,cost_plus,50578,5908.58,11485278.29,870.836,5139496.09,13188.8,5145404.67,6707402.52,0.767,-1561997.85,11472089.49,,,,,,,,,,,9718291.89,0.0,0,,0,0.0,USD,2020-06-23,AM-2020-0000010,tax_invoice,Civil supply — Western Sydney International Airpor Lot 10,civil,2523,aggregate,27.69,10,5798.84,6088.78,209.42,CY,CY,PO-BEC-INF-WSA-VND-AM-00010,0,251.28,Net 30 — monthly progress billing,NSW,0.94,0,,BEC-INF-WSA,PROJ-INF-001,Western Sydney International Airport,0.0,JPMorgan Chase,Lake Charles,procurement@alfredmiller.com,92-8846089,Alfred Miller Contracting,44-787194-8613,+1-927-436-6746,LA,5798.84,6088.78,-9712203.11,under,INV-42115ECA,0.14,LI-0000010,,,,0,46,1,1,2020-08-08,PMT-899760,ach,paid,608.88,0.0,2020-10-15,delayed,PO-VND-AM-00010,Civil supply — Western Sydney International Airpor Lot 10,40137.44,191.66,86.88,104.78,3.49,209.42,CY,22411.87,0,active,24811.13,17561.8,subcontract_po,47223,WSA Co,1,Badgerys Creek,NSW,active,5000000000,infrastructure,10.0,10,ACT-BEC-INF-WSA-CIV-0010,Civil delivery — Western Sydney International A,44.8,2020-05-05,0,0,,6,2020-10-20,0,2020-10-20,58.4,2020-05-03,2025-01-15 08:00:00,INV-D65A6A37,2020-06-23,ocr_pdf,invoice,1,0,4.6,A,large,0,4.3,4.3,4.6,Civil — EPC megaprojects (Bechtel preferred vendor),civil,VND-AMC-001,00000000-0000-0000-0000-000183cff176,Alfred Miller Contracting,subcontractor
