transaction_id,line_item_id,invoice_id,synced_at,txn_type,txn_source,txn_date,inv_supplier_name,inv_supplier_gstin,inv_supplier_pan,inv_supplier_city,inv_supplier_state,inv_supplier_email,inv_supplier_phone,inv_supplier_bank_name,vnd_vendor_id,vnd_vendor_code,vnd_vendor_name_normalized,vnd_vendor_type,vnd_trade_category,vnd_overall_rating,vnd_financial_health,vnd_blacklisted,vnd_approved_vendor,vnd_msme_flag,inv_project_id,inv_project_code,inv_project_name,prj_client_name,prj_site_city,prj_site_state,prj_type,prj_total_contract_value,prj_is_epc,prj_status,inv_invoice_number,inv_invoice_date,inv_invoice_type,inv_invoice_currency,inv_place_of_supply,inv_li_sl_no,inv_li_description,inv_li_hsn_sac_code,inv_li_quantity,inv_li_uom,inv_li_uom_normalized,inv_li_unit_rate,inv_li_taxable_amount,inv_li_total_amount,inv_li_epc_category,inv_li_material_type,inv_taxable_amount,inv_cgst_amount,inv_sgst_amount,inv_igst_amount,inv_other_charges,inv_total_amount,inv_duplicate_flag,inv_off_contract_flag,inv_price_variance_flag,inv_grn_matched,po_over_invoiced_flag,row_process_id
INV-BA645450,LI-0000001,INV-7B5AE601,2026-05-08 18:01:39,invoice,ocr_pdf,2025-02-02,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2025-0000001,2025-02-02,tax_invoice,USD,NSW,1,Civil supply — Western Sydney International Airpor Lot 1,7304,9.64,CY,CY,3551.74,34238.77,37063.47,civil,aggregate,34238.77,0.0,0.0,0.0,440.97,37063.47,0,0,0,0,0,1
INV-052DC5C6,LI-0000002,INV-AA55195F,2026-05-08 18:01:39,invoice,ocr_pdf,2025-02-04,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2025-0000002,2025-02-04,tax_invoice,USD,NSW,2,Civil supply — Western Sydney International Airpor Lot 2,3926,11.43,CY,CY,1862.53,21288.72,21288.72,civil,aggregate,21288.72,0.0,0.0,0.0,450.15,21288.72,0,0,0,0,0,2
INV-92F228D7,LI-0000003,INV-D1E63485,2026-05-08 18:01:39,invoice,ocr_pdf,2024-01-21,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2024-0000003,2024-01-21,tax_invoice,USD,NSW,3,Civil supply — Western Sydney International Airpor Lot 3,8481,48.51,CY,CY,156.77,7604.91,7604.91,civil,aggregate,7604.91,0.0,0.0,0.0,296.93,7604.91,0,0,0,0,0,3
INV-D3B9C16B,LI-0000004,INV-C425C758,2026-05-08 18:01:39,invoice,ocr_pdf,2024-08-13,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2024-0000004,2024-08-13,tax_invoice,USD,NSW,4,Civil supply — Western Sydney International Airpor Lot 4,7306,30.47,CY,CY,4890.03,148999.21,148999.21,civil,aggregate,148999.21,0.0,0.0,0.0,437.97,148999.21,0,0,0,0,0,4
INV-B4059051,LI-0000005,INV-F2DBDF70,2026-05-08 18:01:39,invoice,ocr_pdf,2021-03-31,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2021-0000005,2021-03-31,tax_invoice,USD,NSW,5,Civil supply — Western Sydney International Airpor Lot 5,7304,34.59,CY,CY,4575.94,158281.76,171340.01,civil,aggregate,158281.76,0.0,0.0,0.0,53.09,171340.01,0,0,0,0,0,5
INV-17356DC7,LI-0000006,INV-F8B1EAB3,2026-05-08 18:01:39,invoice,ocr_pdf,2022-05-26,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2022-0000006,2022-05-26,tax_invoice,USD,NSW,6,Civil supply — Western Sydney International Airpor Lot 6,7214,5.17,CY,CY,3576.39,18489.94,18489.94,civil,aggregate,18489.94,0.0,0.0,0.0,370.41,18489.94,0,0,0,0,0,6
INV-3A791700,LI-0000007,INV-6A1D23B3,2026-05-08 18:01:39,invoice,ocr_pdf,2021-09-22,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2021-0000007,2021-09-22,tax_invoice,USD,NSW,7,Civil supply — Western Sydney International Airpor Lot 7,8708,14.56,CY,CY,1924.07,28014.46,28014.46,civil,aggregate,28014.46,0.0,0.0,0.0,159.04,28014.46,0,0,0,0,0,7
INV-A938F614,LI-0000008,INV-00604317,2026-05-08 18:01:39,invoice,ocr_pdf,2024-02-24,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2024-0000008,2024-02-24,tax_invoice,USD,NSW,8,Civil supply — Western Sydney International Airpor Lot 8,7214,24.09,CY,CY,1696.28,40863.39,44234.62,civil,aggregate,40863.39,0.0,0.0,0.0,245.31,44234.62,0,0,0,0,0,8
INV-E1F0444E,LI-0000009,INV-307408A3,2026-05-08 18:01:39,invoice,ocr_pdf,2024-03-06,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2024-0000009,2024-03-06,tax_invoice,USD,NSW,9,Civil supply — Western Sydney International Airpor Lot 9,8544,25.31,CY,CY,2921.27,73937.34,73937.34,civil,aggregate,73937.34,0.0,0.0,0.0,465.17,73937.34,0,0,0,0,0,9
INV-D65A6A37,LI-0000010,INV-42115ECA,2026-05-08 18:01:39,invoice,ocr_pdf,2020-06-23,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2020-0000010,2020-06-23,tax_invoice,USD,NSW,10,Civil supply — Western Sydney International Airpor Lot 10,2523,27.69,CY,CY,209.42,5798.84,6088.78,civil,aggregate,5798.84,0.0,0.0,0.0,251.28,6088.78,0,0,0,0,0,10
INV-13C5DE43,LI-0000011,INV-91EB4654,2026-05-08 18:01:39,invoice,ocr_pdf,2025-02-01,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2025-0000011,2025-02-01,tax_invoice,USD,NSW,11,Civil supply — Western Sydney International Airpor Lot 11,8708,20.92,CY,CY,2678.04,56024.6,56024.6,civil,aggregate,56024.6,0.0,0.0,0.0,351.95,56024.6,0,0,0,0,0,11
INV-4A20BFAC,LI-0000012,INV-826342D1,2026-05-08 18:01:39,invoice,ocr_pdf,2023-07-03,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2023-0000012,2023-07-03,tax_invoice,USD,NSW,12,Civil supply — Western Sydney International Airpor Lot 12,8419,32.67,CY,CY,3073.29,100404.38,105424.6,civil,aggregate,100404.38,0.0,0.0,0.0,454.25,105424.6,0,0,0,0,0,12
INV-BC70BFF0,LI-0000013,INV-F3D87B79,2026-05-08 18:01:39,invoice,ocr_pdf,2025-01-24,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2025-0000013,2025-01-24,tax_invoice,USD,NSW,13,Civil supply — Western Sydney International Airpor Lot 13,8419,34.47,CY,CY,3878.82,133702.93,133702.93,civil,aggregate,133702.93,0.0,0.0,0.0,398.68,133702.93,0,0,0,0,0,13
INV-56F67165,LI-0000014,INV-19B15568,2026-05-08 18:01:39,invoice,ocr_pdf,2021-10-19,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2021-0000014,2021-10-19,tax_invoice,USD,NSW,14,Civil supply — Western Sydney International Airpor Lot 14,7213,1.59,CY,CY,3569.37,5675.3,5959.07,civil,aggregate,5675.3,0.0,0.0,0.0,0.93,5959.07,0,0,0,0,0,14
INV-54DA2B76,LI-0000015,INV-77D5461F,2026-05-08 18:01:39,invoice,ocr_pdf,2022-05-06,Alfred Miller Contracting,92-8846089,44-787194-8613,Lake Charles,LA,procurement@alfredmiller.com,+1-927-436-6746,JPMorgan Chase,00000000-0000-0000-0000-000183cff176,VND-AMC-001,Alfred Miller Contracting,subcontractor,civil,4.3,A,0,1,0,PROJ-INF-001,BEC-INF-WSA,Western Sydney International Airport,WSA Co,Badgerys Creek,NSW,infrastructure,5000000000,1,active,AM-2022-0000015,2022-05-06,tax_invoice,USD,NSW,15,Civil supply — Western Sydney International Airpor Lot 15,8419,44.9,CY,CY,1647.03,73951.65,77649.23,civil,aggregate,73951.65,0.0,0.0,0.0,429.26,77649.23,0,0,0,0,0,15
